FAO Food Price Index,,,,,,
2014-2016=100,,,,,,
Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
18-Apr,98.4,95.4,110,104,94.02,76.8
18-May,98.5,94.9,111.4,105.5,92.15,76.4
18-Jun,96.8,94.7,112.3,100.8,89.33,77.4
18-Jul,95,94.3,110.1,98.7,86.9,72.5
18-Aug,95.8,95.4,108.5,103.5,84.43,68.6
18-Sep,94,93.4,108.3,100.3,82.33,70.4
18-Oct,93.2,91.9,102.8,100.9,81.33,76.5
18-Nov,91.9,92.1,100,99.6,76.59,79.9
18-Dec,92,92.3,97.8,101.1,76.84,78.3
19-Jan,93.1,91.6,100.9,101.8,80.26,79.3
19-Feb,93.8,92.5,103.8,100.7,81.78,80.3
19-Mar,93,94,105.6,97.5,78.41,78.7
19-Apr,93.5,97.3,106.1,94.6,79.11,79.3
19-May,94.2,100.2,106.6,94.4,78.5,76.7
19-Jun,95.4,101.2,102.9,99.2,77.46,79.9
19-Jul,95.1,102.3,101.1,97.6,78.09,79.4
19-Aug,93.8,101.6,100.3,92.6,82.59,76.2
19-Sep,93.2,100.6,99.6,91.8,83.89,73.5
19-Oct,95,100.9,100.8,96,84.11,77.8
19-Nov,98.2,105.4,102.5,95.6,93.16,79.2
19-Dec,100.8,106,103.5,97.4,101.5,83
20-Jan,102.5,103.5,103.8,100.7,108.73,87.5
20-Feb,99.6,101,102.8,99.6,97.55,91.4
20-Mar,95.2,99.5,101.6,98,85.42,73.9
20-Apr,92.4,96.5,95.9,99.6,81.18,63.2
20-May,91.2,95.4,94.5,98,77.77,67.8
20-Jun,93.1,94.5,98.3,97.3,86.61,74.9
20-Jul,93.8,91.4,101.8,97.3,93.2,76
20-Aug,95.7,91.4,102.1,99.2,98.7,81.1
20-Sep,97.9,91.2,102.3,104.3,104.6,79
20-Oct,101.3,91.6,104.5,112.1,106.45,84.7
20-Nov,105.5,93.1,105.4,114.8,121.9,87.5
20-Dec,108.5,94.7,108.7,116.4,131.2,87.1
21-Jan,113.5,95.9,111.1,125,138.87,94.2
21-Feb,116.5,97.7,112.8,126.1,147.46,100.2
21-Mar,119.1,100.5,117.2,123.9,159.3,96.2
21-Apr,122.1,104.4,119,126.2,162.19,100
21-May,128.4,108.1,121.2,133.7,174.9,106.8
21-Jun,125.4,110.9,120.1,130.3,157.7,107.7
21-Jul,124.4,113.3,117.2,126.3,155.5,109.6
21-Aug,128,113.1,117.2,130.4,165.9,120.5
21-Sep,129.1,112.1,119.2,132.8,168.6,121.2
21-Oct,133.3,111.6,122.6,137.1,184.8,119.1
21-Nov,135.4,112.4,127.2,141.4,184.6,120.2
21-Dec,133.7,110.5,130.4,140.5,178.5,116.4
22-Jan,135.7,111.7,134.3,140.6,185.9,112.7
22-Feb,141.7,113.7,145,145.3,201.7,110.5
22-Mar,160.2,119.3,149.6,170.1,251.8,117.9
22-Apr,158.8,121.3,150.7,169.7,237.5,121.5
22-May,158.7,122.5,149.7,173.5,229.2,120.4
22-Jun,155.7,125.4,158.2,166.3,211.8,117.3
22-Jul,141.6,123.3,155.6,147.3,168.8,112.8
22-Aug,138.7,120.3,153.1,145.6,163.3,110.5
22-Sep,137.3,119.9,152.8,147.9,152.6,109.7
22-Oct,136.7,116.5,149.2,152.3,151.3,108.6
22-Nov,136,114.1,147.4,150.1,154.7,114.4
22-Dec,133.1,111.9,148.6,147.3,144.6,117.2
23-Jan,131.4,110.5,144.7,147.5,140.4,116.8
23-Feb,130.7,112.1,138.7,146.7,135.9,125.2
23-Mar,128,114.1,135.3,138.6,131.8,127
23-Apr,128.4,116,129.3,136.1,130,149.4
23-May,124.5,117.4,121.7,129.3,118.7,157.2
23-Jun,123,118.6,119.9,126.6,115.8,152.2
23-Jul,124.4,117.9,119.1,125.9,129.8,146.3
23-Aug,121.8,114.5,114.3,125,125.8,148.2
23-Sep,121.7,113.4,112,126.3,120.9,162.7
23-Oct,120.7,112,114.6,124.8,120,159.2
23-Nov,120.6,111.6,116.5,121,124.1,161.4
23-Dec,119.1,111.2,118.7,122.8,122.3,134.2
24-Jan,117.6,108.9,118.7,119.9,122.5,136.4
24-Feb,117.4,112.5,120.7,113.8,120.9,140.8
24-Mar,118.9,114.9,124,110.9,130.6,133.4
24-Apr,119.2,116.6,123.8,111.6,130.9,126.6
24-May,120.5,116.7,126.3,118.7,127.8,117.1
24-Jun,121,118.1,127.9,115.2,131.8,119.4
24-Jul,120.9,120,127.9,110.7,135,119.5
24-Aug,121.7,122,131.3,110.2,136.1,113.9
24-Sep,124.6,119.9,136.5,113.6,142.4,126.3
24-Oct,126.9,119.2,139,114.4,152.7,129.6
24-Nov,127.7,118.7,140,111.4,164.1,126.4
24-Dec,127.4,119.6,141.9,111.4,162.1,119.3
25-Jan,124.7,116.7,143.4,111.8,153,111.2
25-Feb,126.8,117,148.7,112.6,156,118.5
25-Mar,127.1,118,148.7,109.7,161.8,116.9
